,Канал: 0,Канал: 1
275000,-0.869,2.793
275250,-0.908,2.588
275500,-0.869,2.393
275750,-0.859,2.188
276000,-0.850,1.973
276250,-0.879,1.709
276500,-0.811,1.406
276750,-0.859,1.084
277000,-0.967,0.781
277250,-0.742,0.498
277500,-0.840,0.225
277750,-0.791,-0.029
278000,-0.889,-0.293
278250,-0.752,-0.547
278500,-0.713,-0.781
278750,-0.615,-0.996
279000,-0.674,-1.191
279250,-0.518,-1.377
279500,-0.410,-1.543
279750,-0.381,-1.689
280000,-0.137,-1.826
280250,-0.117,-1.963
280500,-0.078,-2.100
280750,0.049,-2.227
281000,0.205,-2.363
281250,0.215,-2.461
281500,0.215,-2.549
281750,0.244,-2.627
282000,0.215,-2.695
282250,0.352,-2.754
282500,0.293,-2.822
282750,0.400,-2.891
283000,0.400,-2.949
283250,0.459,-3.066
283500,0.420,-3.184
283750,0.479,-3.291
284000,0.576,-3.350
284250,0.566,-3.330
284500,0.664,-3.252
284750,0.557,-3.027
285000,0.635,-2.822
285250,0.596,-2.627
285500,0.596,-2.432
285750,0.537,-2.217
286000,0.674,-1.992
286250,0.527,-1.729
286500,0.596,-1.445
286750,0.527,-1.123
287000,0.557,-0.811
287250,0.566,-0.527
287500,0.605,-0.264
287750,0.518,-0.010
288000,0.459,0.264
288250,0.508,0.508
